mes_inicio;mes_finalizacion;toneladas_retiradas;anio
ENERO;FEBRERO;355.38;2015
FEBRERO;MARZO;263.73;2015
MARZO;ABRIL;248.39;2015
ABRIL;MAYO;346.43;2015
MAYO;JUNIO;250.27;2015
JUNIO;JULIO;317.12;2015
JULIO;AGOSTO;414.88;2015
AGOSTO;SEPTIEMBRE;218.7;2015
SEPTIEMBRE;OCTUBRE;314.92;2015
OCTUBRE;NOVIEMBRE;533.54;2015
NOVIEMBRE;DICIEMBRE;260.86;2015
DICIEMBRE;ENERO;501.55;2015
ENERO;FEBRERO;525.6;2016
FEBRERO;MARZO;415.92;2016
MARZO;ABRIL;412.18;2016
ABRIL;MAYO;340.64;2016
MAYO;JUNIO;365.98;2016
JUNIO;JULIO;458.28;2016
JULIO;AGOSTO;373.97;2016
AGOSTO;SEPTIEMBRE;291.98;2016
SEPTIEMBRE;OCTUBRE;279.98;2016
OCTUBRE;NOVIEMBRE;405.06;2016
NOVIEMBRE;DICIEMBRE;354.34;2016
DICIEMBRE;ENERO;530.76;2016
ENERO;FEBRERO;385.81;2017
FEBRERO;MARZO;401.97;2017
MARZO;ABRIL;308.5;2017
ABRIL;MAYO;406.8;2017
MAYO;JUNIO;266.74;2017
JUNIO;JULIO;337.72;2017
JULIO;AGOSTO;405.42;2017
AGOSTO;SEPTIEMBRE;555.46;2017
SEPTIEMBRE;OCTUBRE;281.36;2017
OCTUBRE;NOVIEMBRE;380.1;2017
NOVIEMBRE;DICIEMBRE;253.38;2017
DICIEMBRE;ENERO;308.06;2017
ENERO;FEBRERO;271.64;2018
FEBRERO;MARZO;230.81;2018
MARZO;ABRIL;314.48;2018
ABRIL;MAYO;428.92;2018
MAYO;JUNIO;137.6;2018
JUNIO;JULIO;149.58;2018
JULIO;AGOSTO;309.98;2018
AGOSTO;SEPTIEMBRE;215.1;2018
SEPTIEMBRE;OCTUBRE;392.78;2018
OCTUBRE;NOVIEMBRE;176.16;2018
NOVIEMBRE;DICIEMBRE;257.12;2018
DICIEMBRE;ENERO;222.62;2018
ENERO;FEBRERO;193.06;2019
FEBRERO;MARZO;307.44;2019
MARZO;ABRIL;184.94;2019
ABRIL;MAYO;280.14;2019
MAYO;JUNIO;216.70;2019
JUNIO;JULIO;171.91;2019
JULIO;AGOSTO;276.58;2019
AGOSTO;SEPTIEMBRE;405.8;2019
SEPTIEMBRE;OCTUBRE;300.78;2019
